,BBL,GHG_12,siteEUI_12,income_12,GHG_14,siteEUI_14,income_14,decreaseGHG,decreaseGHGAmount,decreaseSiteEUI,decreaseSiteEUIAmount
51,1008740069,324.98,74.8,48600.0,302.6,72.8,48600.0,False,-22.379999999999995,False,-2.0
52,3052680002,308.71,72.3,63333.0,328.8,83.5,63333.0,True,20.090000000000032,True,11.200000000000003
53,1000550014,1030.9,60.0,58828.0,1265.2,74.5,58828.0,True,234.29999999999995,True,14.5
54,1000640008,458.45,32.2,40158.0,1143.9,98.0,40158.0,True,685.45,True,65.8
55,3087207512,693.18,72.8,19490.0,782.6,87.5,19490.0,True,89.42000000000007,True,14.700000000000003
56,1013710038,2814.01,62.8,76416.0,790.6,17.3,76416.0,False,-2023.4100000000003,False,-45.5
57,1000650010,653.68,176.0,40158.0,735.0,207.1,40158.0,True,81.32000000000005,True,31.099999999999994
58,1004737502,375.7,91.5,68182.0,356.5,98.6,68182.0,False,-19.19999999999999,True,7.099999999999994
59,1019457504,1219.61,90.4,29570.0,1538.4,124.3,29570.0,True,318.7900000000002,True,33.89999999999999
60,1000690006,1078.04,54.3,40158.0,845.4,46.3,40158.0,False,-232.64,False,-8.0
61,1022500084,106.1,15.7,10516.0,564.1,95.4,10516.0,True,458.0,True,79.7
62,1000697502,1534.54,66.2,40158.0,1978.8,65.1,40158.0,True,444.26,False,-1.1000000000000085
63,1000710001,371.67,78.0,40158.0,424.1,93.6,40158.0,True,52.43000000000001,True,15.599999999999994
64,1000720027,126.81,31.9,40158.0,154.2,20.1,40158.0,True,27.389999999999986,False,-11.799999999999997
65,1000750001,3059.61,72.9,40158.0,2701.3,73.3,40158.0,False,-358.30999999999995,True,0.3999999999999915
66,1000760024,230.82,48.8,40158.0,285.8,67.8,40158.0,True,54.98000000000002,True,19.0
67,1000767502,2855.63,83.9,40158.0,2777.6,110.4,40158.0,False,-78.0300000000002,True,26.5
68,1000780001,286.02,73.4,40158.0,302.8,74.4,40158.0,True,16.78000000000003,True,1.0
69,3072440058,380.76,69.4,44375.0,428.9,83.7,44375.0,True,48.139999999999986,True,14.299999999999997
70,1010477501,9492.4,277.0,56507.0,3665.7,106.1,56507.0,False,-5826.7,False,-170.9
71,1005750057,535.75,138.9,32730.0,236.5,77.7,32730.0,False,-299.25,False,-61.2
72,1016220020,673.75,103.2,44167.0,591.3,97.3,44167.0,False,-82.45000000000005,False,-5.900000000000006
73,1000917502,570.34,34.4,40158.0,836.7,63.0,40158.0,True,266.36,True,28.6
74,1013630037,487.89,85.4,14409.0,511.6,96.5,14409.0,True,23.710000000000036,True,11.099999999999994
75,4001890025,71.3,15.0,34932.0,346.9,79.8,34932.0,True,275.59999999999997,True,64.8
76,3072440105,568.38,68.8,44375.0,446.1,61.6,44375.0,False,-122.27999999999997,False,-7.199999999999996
77,1001260013,878.51,88.1,74464.0,601.9,64.9,74464.0,False,-276.61,False,-23.19999999999999
78,1013230036,90.79,18.9,39943.0,79.7,18.6,39943.0,False,-11.090000000000003,False,-0.29999999999999716
79,1001327503,262.07,63.2,74464.0,275.4,76.1,74464.0,True,13.329999999999984,True,12.899999999999991
80,1001340025,665.76,72.9,74464.0,737.5,86.5,74464.0,True,71.74000000000001,True,13.599999999999994
81,4030820082,272.53,27.2,38353.0,865.5,92.3,38353.0,True,592.97,True,65.1
82,1001367502,241.26,45.0,74464.0,355.9,66.8,74464.0,True,114.63999999999999,True,21.799999999999997
83,1001370005,250.3,52.7,74464.0,273.1,63.4,74464.0,True,22.80000000000001,True,10.699999999999996
84,1001377502,903.3,85.4,74464.0,830.7,84.6,74464.0,False,-72.59999999999991,False,-0.8000000000000114
85,4033290054,240.03,74.3,48451.0,729.0,169.9,48451.0,True,488.97,True,95.60000000000001
86,3059680056,264.16,53.4,45213.0,277.9,62.0,45213.0,True,13.739999999999952,True,8.600000000000001
87,1009290001,4428.35,79.8,45213.0,3562.3,65.3,45213.0,False,-866.0500000000002,False,-14.5
88,1001427501,6296.03,107.7,74464.0,6091.7,115.3,74464.0,False,-204.32999999999993,True,7.599999999999994
89,4021370013,306.37,65.6,46750.0,415.5,97.5,46750.0,True,109.13,True,31.900000000000006
90,1001430001,338.45,60.3,15893.0,335.1,64.7,15893.0,False,-3.349999999999966,True,4.400000000000006
91,4001290070,425.4,83.3,110375.0,430.5,90.0,110375.0,True,5.100000000000023,True,6.700000000000003
92,3076540014,381.94,64.8,37833.0,411.4,72.8,37833.0,True,29.45999999999998,True,8.0
93,3053070070,405.69,68.9,35560.0,404.2,71.4,35560.0,False,-1.490000000000009,True,2.5
94,1009300012,521.79,22.1,37500.0,1694.7,110.0,37500.0,True,1172.91,True,87.9
95,1001507501,235.8,42.3,113332.0,203.3,42.3,113332.0,False,-32.5,False,0.0
96,1001510001,3468.96,85.7,113332.0,4304.1,129.0,113332.0,True,835.1400000000003,True,43.3
97,1001610001,542.51,20.2,20344.0,1808.7,84.3,20344.0,True,1266.19,True,64.1
98,1001700001,726.47,68.9,40641.0,691.9,71.8,40641.0,False,-34.57000000000005,True,2.8999999999999915
99,1001700020,2095.94,125.4,40641.0,2029.5,129.2,40641.0,False,-66.44000000000005,True,3.799999999999983
100,1001727504,544.99,79.1,40641.0,553.6,88.8,40641.0,True,8.610000000000014,True,9.700000000000003
101,1001730027,1781.09,70.5,113332.0,1298.2,76.7,113332.0,False,-482.8899999999999,True,6.200000000000003
102,1016030060,295.09,72.9,45828.0,66.6,16.1,45828.0,False,-228.48999999999998,False,-56.800000000000004
103,1001737502,560.97,81.2,113332.0,782.9,111.8,113332.0,True,221.92999999999995,True,30.599999999999994
104,1001757504,555.98,59.8,113332.0,676.2,87.7,113332.0,True,120.22000000000003,True,27.900000000000006
105,1001790032,286.08,96.6,113332.0,378.7,134.1,113332.0,True,92.62,True,37.5
106,1018897501,953.98,71.6,57763.0,1067.1,84.4,57763.0,True,113.11999999999989,True,12.800000000000011
107,1001797506,530.31,88.2,113332.0,404.6,69.2,113332.0,False,-125.70999999999992,False,-19.0
108,3058870006,509.73,111.7,37371.0,557.5,132.2,37371.0,True,47.76999999999998,True,20.499999999999986
109,1007760065,297.9,59.6,39828.0,441.2,87.6,39828.0,True,143.3,True,27.999999999999993
110,3074407501,675.02,57.2,39375.0,747.3,67.9,39375.0,True,72.27999999999997,True,10.700000000000003
111,1001887503,607.84,67.2,15893.0,537.3,67.6,15893.0,False,-70.54000000000008,True,0.3999999999999915
112,1001887505,304.26,60.6,15893.0,282.1,61.2,15893.0,False,-22.159999999999968,True,0.6000000000000014
113,1001890030,242.77,46.0,113332.0,301.5,58.8,113332.0,True,58.72999999999999,True,12.799999999999997
114,1019930023,453.32,97.7,34940.0,498.1,108.6,34940.0,True,44.78000000000003,True,10.899999999999991
115,1001907503,357.37,50.4,113332.0,433.0,66.7,113332.0,True,75.63,True,16.300000000000004
116,1001907504,891.04,72.6,113332.0,785.0,67.0,113332.0,False,-106.03999999999996,False,-5.599999999999994
117,1021490104,537.17,109.8,27379.0,498.5,108.6,27379.0,False,-38.66999999999996,False,-1.2000000000000028
118,4033400036,133.28,29.6,47105.0,236.5,59.6,47105.0,True,103.22,True,30.0
119,1002067501,269.9,73.8,12970.0,290.5,84.7,12970.0,True,20.600000000000023,True,10.900000000000006
120,4030800006,312.4,76.8,38353.0,336.2,87.1,38353.0,True,23.80000000000001,True,10.299999999999997
121,1002127501,525.92,47.5,113332.0,440.6,44.8,113332.0,False,-85.31999999999994,False,-2.700000000000003
122,1002147503,813.95,82.1,15893.0,847.3,95.0,15893.0,True,33.34999999999991,True,12.900000000000006
123,3074470028,2189.27,55.5,65469.0,2708.2,77.1,65469.0,True,518.9299999999998,True,21.599999999999994
124,1002157504,885.34,71.4,15893.0,1229.7,103.5,15893.0,True,344.36,True,32.099999999999994
125,1002157505,281.88,74.2,15893.0,328.1,79.8,15893.0,True,46.22000000000003,True,5.599999999999994
126,1002180024,274.87,58.8,15893.0,313.9,67.5,15893.0,True,39.02999999999997,True,8.700000000000003
127,1002187501,836.93,69.5,15893.0,716.0,62.0,15893.0,False,-120.92999999999995,False,-7.5
128,4021187501,3601.1,124.3,46750.0,3009.8,106.3,46750.0,False,-591.2999999999997,False,-18.0
129,1002197501,368.07,72.1,15893.0,575.0,66.5,15893.0,True,206.93,False,-5.599999999999994
130,1002207502,476.72,54.7,113332.0,437.2,54.3,113332.0,False,-39.52000000000004,False,-0.4000000000000057
131,1002207503,372.12,80.2,113332.0,354.9,86.1,113332.0,False,-17.220000000000027,True,5.8999999999999915
132,1002227501,245.84,54.9,15893.0,239.9,59.1,15893.0,False,-5.939999999999998,True,4.200000000000003
133,1002240001,1285.32,56.8,15893.0,1139.4,57.1,15893.0,False,-145.91999999999985,True,0.30000000000000426
134,3060990013,1417.12,89.0,82882.0,1519.2,97.2,82882.0,True,102.08000000000015,True,8.200000000000003
135,1008930064,38.84,13.0,68868.0,334.4,103.8,68868.0,True,295.55999999999995,True,90.8
136,3068250019,294.23,48.9,48542.0,383.5,84.3,48542.0,True,89.26999999999998,True,35.4
137,5003270060,876.81,111.5,10775.0,916.7,121.6,10775.0,True,39.8900000000001,True,10.099999999999994
138,1002430056,1907.76,84.9,29219.0,1871.4,98.9,29219.0,False,-36.3599999999999,True,14.0
139,1002440019,977.12,87.2,29219.0,935.7,98.9,29219.0,False,-41.41999999999996,True,11.700000000000003
140,1008650007,369.29,71.9,28648.0,379.9,78.4,28648.0,True,10.609999999999957,True,6.5
141,4092090049,268.2,68.2,64542.0,279.1,74.2,64542.0,True,10.900000000000034,True,6.0
142,1002480070,571.35,113.9,41000.0,611.4,126.1,41000.0,True,40.049999999999955,True,12.199999999999989
143,1002530001,804.03,73.2,25148.0,866.3,95.5,25148.0,True,62.26999999999998,True,22.299999999999997
144,1002560001,2898.19,31.4,41000.0,2416.3,29.4,41000.0,False,-481.8899999999999,False,-2.0
145,1002590001,954.75,84.9,29219.0,935.7,98.9,29219.0,False,-19.049999999999955,True,14.0
146,4021240056,134.91,18.6,35382.0,464.8,97.8,35382.0,True,329.89,True,79.19999999999999
147,1002630008,8237.08,122.1,29219.0,6011.7,104.4,29219.0,False,-2225.38,False,-17.69999999999999
148,1002670001,953.88,81.6,29219.0,935.7,95.1,29219.0,False,-18.17999999999995,True,13.5
149,1002777501,420.2,53.3,25148.0,352.9,50.6,25148.0,False,-67.30000000000001,False,-2.6999999999999957
150,1002830024,197.16,26.3,41000.0,446.7,88.9,41000.0,True,249.54,True,62.60000000000001
151,1002847503,241.31,69.0,41000.0,265.5,83.5,41000.0,True,24.189999999999998,True,14.5
152,1005640001,303.68,62.6,30469.0,481.0,95.8,30469.0,True,177.32,True,33.199999999999996
153,1003110013,1479.53,16.4,39239.0,6404.4,101.7,39239.0,True,4924.87,True,85.30000000000001
154,1003150001,1546.87,17.8,39239.0,1297.2,16.6,39239.0,False,-249.66999999999985,False,-1.1999999999999993
155,1003310065,2157.44,110.5,25865.0,1616.9,96.5,25865.0,False,-540.54,False,-14.0
156,1003330001,5056.15,41.1,28164.0,4272.6,39.3,28164.0,False,-783.5499999999993,False,-1.8000000000000043
157,1003380001,3332.49,80.0,28164.0,3708.9,105.1,28164.0,True,376.4100000000003,True,25.099999999999994
158,1003410001,1175.99,68.8,25865.0,2838.7,152.5,25865.0,True,1662.7099999999998,True,83.7
159,1003430043,298.54,66.0,25865.0,388.8,84.6,25865.0,True,90.25999999999999,True,18.599999999999994
160,3087207514,401.79,65.2,19490.0,430.0,76.6,19490.0,True,28.20999999999998,True,11.399999999999991
161,1003450048,772.15,58.5,28164.0,781.9,63.2,28164.0,True,9.75,True,4.700000000000003
162,5006317501,467.81,98.5,11817.0,412.7,93.2,11817.0,False,-55.110000000000014,False,-5.299999999999997
163,1003510001,2882.75,109.3,85000.0,3009.9,125.3,85000.0,True,127.15000000000009,True,16.0
164,4008900091,260.76,88.0,32350.0,335.1,113.4,32350.0,True,74.34000000000003,True,25.400000000000006
165,4050210031,412.45,74.4,33343.0,460.3,89.8,33343.0,True,47.85000000000002,True,15.399999999999991
166,1003750001,1029.79,93.3,42378.0,1262.1,112.4,42378.0,True,232.30999999999995,True,19.10000000000001
167,4032340051,90.59,5.5,51336.0,601.4,49.9,51336.0,True,510.80999999999995,True,44.4
168,1003820001,2507.01,64.6,34234.0,2597.0,79.5,34234.0,True,89.98999999999978,True,14.900000000000006
169,1003820100,2635.47,51.0,34234.0,1636.7,32.4,34234.0,False,-998.7699999999998,False,-18.6
170,1015577502,714.0,111.2,61463.0,764.5,127.6,61463.0,True,50.5,True,16.39999999999999
171,1003900011,337.71,55.5,42378.0,93.9,11.7,42378.0,False,-243.80999999999997,False,-43.8
172,1006090047,877.03,117.2,35909.0,719.7,102.0,35909.0,False,-157.32999999999993,False,-15.200000000000003
173,1003950009,609.9,23.9,34234.0,520.2,22.4,34234.0,False,-89.69999999999993,False,-1.5
174,1003960010,243.55,9.6,34234.0,441.9,17.2,34234.0,True,198.34999999999997,True,7.6
175,1003960020,201.18,46.6,34234.0,205.7,42.5,34234.0,True,4.519999999999982,False,-4.100000000000001
176,1004120053,696.47,48.1,58750.0,955.2,71.1,58750.0,True,258.73,True,22.999999999999993
177,5003270015,1049.82,134.8,10775.0,936.8,125.6,10775.0,False,-113.01999999999998,False,-9.200000000000017
178,1004200062,966.79,82.1,85000.0,1093.8,93.8,85000.0,True,127.00999999999999,True,11.700000000000003
179,4066330001,332.65,38.5,56059.0,476.7,47.9,56059.0,True,144.05,True,9.399999999999999
180,4015270001,700.2,88.5,37143.0,787.1,112.3,37143.0,True,86.89999999999998,True,23.799999999999997
181,1004300001,835.97,83.0,58750.0,872.2,91.6,58750.0,True,36.23000000000002,True,8.599999999999994
182,1020530026,85.72,13.7,15700.0,564.5,83.2,15700.0,True,478.78,True,69.5
183,1004417503,201.99,30.8,37371.0,404.5,62.0,37371.0,True,202.51,True,31.2
184,1004467502,579.23,93.0,65234.0,536.4,93.0,65234.0,False,-42.83000000000004,False,0.0
185,1004520002,887.12,87.4,31705.0,912.8,100.8,31705.0,True,25.67999999999995,True,13.399999999999991
186,1006127504,1686.09,178.5,35909.0,1359.0,183.4,35909.0,False,-327.0899999999999,True,4.900000000000006
187,1004530011,110.15,41.5,31705.0,221.3,72.3,31705.0,True,111.15,True,30.799999999999997
188,1004560007,2043.17,142.2,43438.0,1124.2,100.8,43438.0,False,-918.97,False,-41.39999999999999
189,4161300001,1192.57,25.0,34844.0,3900.3,119.1,34844.0,True,2707.7300000000005,True,94.1
190,1004600001,511.68,66.1,65234.0,535.5,73.3,65234.0,True,23.819999999999993,True,7.200000000000003
191,1011397501,617.82,104.9,40665.0,525.0,92.0,40665.0,False,-92.82000000000005,False,-12.900000000000006
192,1004660005,865.48,165.2,31705.0,630.5,181.2,31705.0,False,-234.98000000000002,True,16.0
